timestamp,free_rate,throughput,fragment_rate,avg_waiting_time,avg_completion_time,avg_migration_times,unused_node_num,num task in wl
2139,0.996,0.0,0.0,0.0,0.0,0.0,498,0
12139,0.016,0.0,0.0,4976.1,0.0,0.0,8,0
22139,0.016,7.805230588554135,0.0,5203.083333333333,15281.0,0.0,8,0
32139,0.148,8.064967796135535,0.0,5341.888888888889,16796.0,0.0,74,4
42139,0.196,10.251785756662477,0.0,6692.25,23870.4,0.0,98,11
52139,0.216,9.94265329216134,0.0,10228.3125,23636.666666666668,0.0,108,12
62139,0.104,8.342586781248492,0.0,12987.42857142857,23636.666666666668,0.0,52,12
72139,0.104,7.186126783016121,0.0,15844.57142857143,23636.666666666668,0.0,52,12
82139,0.104,6.311252876222014,0.0,18701.714285714286,23636.666666666668,0.0,52,12
92139,0.136,13.127991404291343,0.0,11504.130841121496,33267.78571428572,0.0,68,77
102139,0.252,15.226309245244224,0.0,15171.666666666666,37456.944444444445,0.0,126,111
112139,0.062,16.179919564112396,0.0,17217.873170731706,45990.09523809524,0.0,31,173
122139,0.088,17.684768992705035,0.0,21055.0608365019,54811.2,0.0,44,223
132139,0.088,16.346423084781936,0.0,26770.789297658863,54811.2,0.0,44,259
142139,0.088,15.19639226391068,0.0,34931.78618421053,54811.2,0.0,44,264
152139,0.188,14.765444757754423,0.0,43366.60130718954,58292.11538461538,0.0,94,266
162139,0.188,13.85477892425635,0.0,51896.04560260586,58292.11538461538,0.0,94,267
172139,0.188,13.049918960839785,0.0,52541.47191011236,58292.11538461538,0.0,94,316
182139,0.086,12.333437649267868,0.0,54943.17617866005,58292.11538461538,0.0,43,360
192139,0.022,11.69153581521711,0.0,57654.25167037862,58292.11538461538,0.0,11,405
202139,0.022,11.540573565714682,0.0,57673.97148288973,62275.40740740741,0.0,11,481
212139,0.022,10.996563573883162,0.0,64368.05291970803,62275.40740740741,0.0,11,503
222139,0.0775,10.890478484192329,0.0016233766233766,72089.14285714286,66634.82142857143,0.0,38,509
232139,0.0735,10.421342385381172,0.0016163793103448,80390.14664310955,66634.82142857143,0.0,36,514
242139,0.0735,9.99095560814243,0.0016163793103448,89321.6631393298,66634.82142857143,0.0,36,515
252139,0.0735,9.594707681080674,0.0016163793103448,98404.55555555556,66634.82142857143,0.0,36,515
262139,0.0095,9.228691648323982,0.0015120967741935,100034.18821603929,66634.82142857143,0.0,4,558
272139,0.0035,8.889574812871365,0.001503006012024,105135.06289308176,66634.82142857143,0.0,1,582
282139,0.0035,8.574496967806649,0.001503006012024,108775.24925373134,66634.82142857143,0.0,1,616
292139,0.0035,8.280989528957107,0.001503006012024,110884.12867132868,66634.82142857143,0.0,1,661
302139,0.0035,8.006910726519912,0.001503006012024,108645.4716981132,66634.82142857143,0.0,1,741
312139,0.0035,7.750393254287353,0.001503006012024,114039.01941747572,66634.82142857143,0.0,1,770
322139,0.0035,7.509801669465666,0.001503006012024,122396.58604091455,66634.82142857143,0.0,1,777
332139,0.0035,7.283697488099862,0.001503006012024,131288.24100719424,66634.82142857143,0.0,1,780
342139,0.0035,7.070810401620394,0.001503006012024,134926.34022988507,66634.82142857143,0.0,1,816
352139,0.0035,6.870014397723627,0.001503006012024,133426.79555084746,66634.82142857143,0.0,1,890
362139,0.0035,6.680307837598271,0.001503006012024,117052.03463203464,66634.82142857143,0.0,1,1101
372139,0.0035,6.500796745302161,0.001503006012024,95843.15250965251,66634.82142857143,0.0,1,1500
382139,0.0035,6.33068072088952,0.001503006012024,101903.3879577902,66634.82142857143,0.0,1,1557
392139,0.0155,6.389571044961097,0.0015212981744421,109688.5012195122,77193.96551724138,0.0,7,1572
402139,0.0155,6.230681431047473,0.0015212981744421,118591.72787878787,77193.96551724138,0.0,7,1582
412139,0.0155,6.079502303834386,0.0015212981744421,127886.9776299879,77193.96551724138,0.0,7,1586
422139,0.0155,5.9354857049455285,0.0015212981744421,137397.99758308157,77193.96551724138,0.0,7,1587
432139,0.0155,5.798134396571474,0.0015212981744421,145514.78050239236,77193.96551724138,0.0,7,1604
442139,0.0155,5.666996125652792,0.0015212981744421,153101.4412979351,77193.96551724138,0.0,7,1627
452139,0.0075,5.541658649220705,0.0015090543259557,158769.3935558113,77193.96551724138,0.0,3,1669
462139,0.0075,5.421745405603077,0.0015090543259557,164692.64510686163,77193.96551724138,0.0,3,1709
472139,0.0075,5.30691173573884,0.0015090543259557,170760.6321585903,77193.96551724138,0.0,3,1747
482139,0.0075,5.196841574732598,0.0015090543259557,178295.78400435255,77193.96551724138,0.0,3,1769
492139,0.0075,5.091244546764227,0.0015090543259557,187721.6815217392,77193.96551724138,0.0,3,1771
502139,0.0075,4.989853407124322,0.0015090543259557,197138.7155266016,77193.96551724138,0.0,3,1773
512139,0.0075,4.892421783929754,0.0015090543259557,206655.0591427021,77193.96551724138,0.0,3,1774
522139,0.0075,4.798722179343049,0.0015090543259557,214908.3924528302,77193.96551724138,0.0,3,1786
532139,0.0075,4.7085441961592736,0.0015090543259557,223370.19302949065,77193.96551724138,0.0,3,1796
542139,0.0075,4.621692960661381,0.0015090543259557,230096.58073054528,77193.96551724138,0.0,3,1820
552139,0.0075,4.537987716861153,0.0015090543259557,239108.681626188,77193.96551724138,0.0,3,1825
562139,0.0075,4.457260570784094,0.0015090543259557,246578.389848247,77193.96551724138,0.0,3,1842
572139,0.0075,4.379355366440673,0.0015090543259557,255562.0198329854,77193.96551724138,0.0,3,1847
582139,0.0075,4.304126677649153,0.0015090543259557,265201.89457202505,77193.96551724138,0.0,3,1847
592139,0.0075,4.231438902014561,0.0015090543259557,274841.76931106474,77193.96551724138,0.0,3,1847
602139,0.0395,4.448142372442244,0.0015592515592515,283303.2297297297,98186.3870967742,0.0,19,1854
612139,0.0275,4.51662122491787,0.0015400410677618,279409.715700842,110560.46875,0.0,13,1942
622139,0.0915,4.582898676983761,0.0016483516483516,281860.4857556736,120657.21212121211,0.0,45,1994
632139,0.0055,4.647079202517168,0.0015060240963855,275667.99680656934,130601.41176470587,0.0,2,2111
642139,0.0055,4.574710459884853,0.0015060240963855,278050.0395555556,130601.41176470587,0.0,2,2169
652139,0.0055,4.504561144173252,0.0015060240963855,282040.62282229966,130601.41176470587,0.0,2,2215
662139,0.0075,4.56701689524405,0.0015090543259557,290696.4613715277,142644.74285714285,0.0,3,2223
672139,0.0095,4.6276142286045,0.0015120967741935,300086.6639202082,151922.36111111112,0.0,4,2225
682139,0.0095,4.559774474117445,0.0015120967741935,309339.94239930704,151922.36111111112,0.0,4,2228
692139,0.0015,4.493895012418025,0.0015,312554.5379719983,151922.36111111112,0.0,0,2275
702139,0.0015,4.429892086894475,0.0015,312588.0728095434,151922.36111111112,0.0,0,2349
712139,0.0015,4.367686645444218,0.0015,312601.5420821699,151922.36111111112,0.0,0,2425
722139,0.0015,4.307204014739545,0.0015,313082.57978311385,151922.36111111112,0.0,0,2500
732139,0.0015,4.248373601187753,0.0015,310373.7283215482,151922.36111111112,0.0,0,2605
742139,0.0015,4.191128616067879,0.0015,315115.3395604396,151922.36111111112,0.0,0,2648
752139,0.0015,4.135405822593962,0.0015,323292.1913962815,151922.36111111112,0.0,0,2661
762139,0.0015,4.081145302890943,0.0015,331907.53415697673,151922.36111111112,0.0,0,2670
772139,0.0015,4.028290243077995,0.0015,341241.7847549909,151922.36111111112,0.0,0,2673
782139,0.0015,3.976786734838692,0.0015,336237.04136253044,151922.36111111112,0.0,0,2795
792139,0.0015,3.926583592021097,0.0015,338416.55438477226,151922.36111111112,0.0,0,2860
802139,0.0015,3.877632180956169,0.0015,334786.3038222803,151922.36111111112,0.0,0,2979
812139,0.0015,3.8298862633120687,0.0015,304185.9086718525,151922.36111111112,0.0,0,3389
822139,0.0015,3.783301850417022,0.0015,295226.42602109816,151922.36111111112,0.0,0,3615
832139,0.0015,3.7378370680859807,0.0015,302519.295332618,151922.36111111112,0.0,0,3646
842139,0.0015,3.693452031078005,0.0015,311723.14725568943,151922.36111111112,0.0,0,3653
852139,0.0015,3.650108726393229,0.0015,320741.421741453,151922.36111111112,0.0,0,3662
862139,0.0015,3.6077709046917033,0.0015,327048.386627907,151922.36111111112,0.0,0,3702
872139,0.0015,3.5664039791822173,0.0015,329554.6683897648,151922.36111111112,0.0,0,3787
882139,0.0015,3.5259749313883644,0.0015,333309.80203045683,151922.36111111112,0.0,0,3858
892139,0.0015,3.4864522232522064,0.0015,334744.7797029703,151922.36111111112,0.0,0,3958
902139,0.0015,3.4478057150838177,0.0015,336973.7161181026,151922.36111111112,0.0,0,4050
912139,0.0055,3.504728994155496,0.0015060240963855,344232.43021859234,170205.67567567568,0.0,2,4058
922139,0.0055,3.4667224789321347,0.0015060240963855,352323.758068372,170205.67567567568,0.0,2,4078
932139,0.0055,3.4295314325438584,0.0015060240963855,361310.08707061067,170205.67567567568,0.0,2,4087
942139,0.0075,3.484836101679264,0.0015090543259557,370275.0261842418,185445.07894736843,0.0,3,4096
952139,0.0075,3.4482360243619885,0.0015090543259557,372720.8141923436,185445.07894736843,0.0,3,4179
