timestamp,free_rate,throughput,fragment_rate,avg_waiting_time,avg_completion_time,avg_migration_times,unused_node_num,num task in wl
2139,0.996,0.0,0.0,0.0,0.0,0.0,498,0
12139,0.016,0.0,0.0,4976.1,0.0,0.0,8,0
22139,0.016,7.805230588554135,0.0,5203.083333333333,15281.0,0.0,8,0
32139,0.272,8.064967796135535,0.0,5341.888888888889,16796.0,0.0,136,6
42139,0.132,10.251785756662477,0.0,7406.535714285715,23870.4,0.0,66,15
52139,0.028,9.94265329216134,0.0,12103.3125,24713.0,0.0,14,16
62139,0.148,11.123449041664651,0.0,15368.380952380952,27805.875,0.0,74,24
72139,0.148,9.58150237735483,0.0,21082.666666666668,27805.875,0.0,74,24
82139,0.012,10.518754793703357,0.0,26796.95238095238,32730.9,0.0,6,18
92139,0.012,11.252564060821152,0.0,15242.44859813084,36592.5,0.0,6,80
102139,0.004,13.534497106883755,0.0,18221.312056737588,43746.25,0.0,2,96
112139,0.06975,16.950391924308224,0.0018776824034334,18583.726829268293,50146.181818181816,0.0,34,156
122139,0.166,18.392159752413235,0.0,21473.31178707224,54637.57692307692,0.0,83,214
132139,0.2,22.884992318694707,0.0,26837.678929765887,60994.62857142857,0.0,100,250
142139,0.288,23.70637193170065,0.0,34701.52302631579,64073.8717948718,0.0,144,255
152139,0.42,23.28397057953582,0.0,42843.72549019608,67159.0,0.0,210,257
162139,0.452,22.38079672379872,0.0,51081.71335504886,68559.47619047618,0.0,226,258
172139,0.548,22.08447824142118,0.0,51586.41573033708,70411.31818181818,0.0,274,307
182139,0.548,20.871971406453312,0.0,53876.17866004963,70411.31818181818,0.0,274,354
192139,0.548,19.7856759949828,0.0,56562.937639198215,70411.31818181818,0.0,274,400
202139,0.548,18.806860625609108,0.0,56647.35551330799,70411.31818181818,0.0,274,477
212139,0.548,17.92032582410589,0.0,63309.65875912409,70411.31818181818,0.0,274,499
222139,0.548,17.113609046587946,0.0,70982.0,70411.31818181818,0.0,274,511
232139,0.548,16.376395177027558,0.0,79330.07597173145,70411.31818181818,0.0,274,517
242139,0.58,16.056892941657477,0.0,88316.3721340388,73420.86666666667,0.0,290,518
252139,0.58,15.420065916022514,0.0,97452.1746031746,73420.86666666667,0.0,290,518
262139,0.708,15.16142199367511,0.0,99199.49099836334,76701.69565217392,0.0,354,562
272139,0.708,14.604301478288669,0.0,104396.06918238994,76701.69565217392,0.0,354,587
282139,0.708,14.086673589968065,0.0,108148.38358208956,76701.69565217392,0.0,354,621
292139,0.708,13.60448279757239,0.0,110366.64615384616,76701.69565217392,0.0,354,666
302139,0.708,13.154210479282716,0.0,108242.95597484276,76701.69565217392,0.0,354,746
312139,0.708,12.732788917757793,0.0,113711.3495145631,76701.69565217392,0.0,354,775
322139,0.74,12.605738516603084,0.0,122131.84476534296,80154.68085106384,0.0,370,782
332139,0.74,12.226206497881911,0.0,131084.4040767386,80154.68085106384,0.0,370,785
342139,0.74,11.868860317005662,0.0,134788.4091954023,80154.68085106384,0.0,370,821
352139,0.74,11.531809881893228,0.0,133352.64300847458,80154.68085106384,0.0,370,895
362139,0.74,11.21337387025424,0.0,117034.7186147186,80154.68085106384,0.0,370,1106
372139,0.74,10.912051679614338,0.0,95862.45752895752,80154.68085106384,0.0,370,1505
382139,0.74,10.626499781493122,0.0,101953.04655493484,80154.68085106384,0.0,370,1562
392139,0.1,10.575841729590785,0.0,109767.76951219513,86252.5,0.0,50,1590
402139,0.1,10.312852023802714,0.0,118779.60666666667,86252.5,0.0,50,1600
412139,0.1,10.062624502898297,0.0,128183.2291414752,86252.5,0.0,50,1604
422139,0.1,9.824252201289148,0.0,137802.83141993958,86252.5,0.0,50,1605
432139,0.1,9.596912104670023,0.0,146023.15370813396,86252.5,0.0,50,1622
442139,0.402,9.575269315758169,0.0,153709.11091445427,91807.69387755102,0.0,201,1620
452139,0.636,12.612050718916088,0.0,159321.75258918296,162605.71212121213,0.0,318,1663
462139,0.65,12.526101454324348,0.0,165198.83183352082,165776.91044776118,0.0,325,1703
472139,0.65,12.260796079120766,0.0,171223.1872246696,165776.91044776118,0.0,325,1741
482139,0.65,12.006496051968416,0.0,178720.1583242655,165776.91044776118,0.0,325,1763
492139,0.65,11.762530504593215,0.0,188112.9858695652,165776.91044776118,0.0,325,1765
502139,0.65,11.528282009563087,0.0,197497.0217155266,165776.91044776118,0.0,325,1767
512139,0.65,11.303181362872191,0.0,206980.61530113945,165776.91044776118,0.0,325,1768
522139,0.65,11.086702966068422,0.0,215199.497574124,165776.91044776118,0.0,325,1780
532139,0.656,11.203087914999651,0.0,223627.5656836461,173923.14492753622,0.0,328,1790
542139,0.696,11.155810594699885,0.0,230318.9205929063,177977.95714285714,0.0,348,1814
552139,0.698,11.110245789556616,0.0,239298.7555438226,182032.21126760563,0.0,349,1819
562139,0.698,10.912603466402436,0.0,246735.3757195185,182032.21126760563,0.0,349,1836
572139,0.698,10.721870035078888,0.0,255687.28079331943,182032.21126760563,0.0,349,1841
582139,0.698,10.53768945217551,0.0,265295.8402922756,182032.21126760563,0.0,349,1841
592139,0.698,10.359729725621856,0.0,274904.3997912317,182032.21126760563,0.0,349,1841
602139,0.698,10.18768091752901,0.0,283334.41476091475,182032.21126760563,0.0,349,1849
612139,0.698,10.021253342786522,0.0,279414.66864784545,182032.21126760563,0.0,349,1944
622139,0.698,9.860175941389302,0.0,281874.9715113472,182032.21126760563,0.0,349,1996
632139,0.738,9.840873605330474,0.0,275690.80702554743,187095.125,0.0,369,2117
642139,0.738,9.687622150344396,0.0,278098.92844444443,187095.125,0.0,369,2175
652139,0.738,9.53907065824924,0.0,282114.6646341463,187095.125,0.0,369,2221
662139,0.738,9.395006184502046,0.0,290796.2877604167,187095.125,0.0,369,2229
672139,0.738,9.255228457209,0.0,300212.4228100607,187095.125,0.0,369,2231
682139,0.74,9.246209350293707,0.0,309491.52317020355,192725.94520547945,0.0,370,2234
692139,0.74,9.112620441847664,0.0,312728.4879083581,192725.94520547945,0.0,370,2282
702139,0.74,8.98283673175824,0.0,312785.5224187577,192725.94520547945,0.0,370,2356
712139,0.74,8.856697919928553,0.0,312820.927802154,192725.94520547945,0.0,370,2432
722139,0.74,8.734052585444076,0.0,313322.703718048,192725.94520547945,0.0,370,2507
732139,0.74,8.614757580186275,0.0,310630.5202828433,192725.94520547945,0.0,370,2612
742139,0.74,8.498677471470977,0.0,315393.7278388278,192725.94520547945,0.0,370,2655
752139,0.74,8.385684029148868,0.0,323594.77980313526,192725.94520547945,0.0,370,2668
762139,0.74,8.275655753084411,0.0,332234.56904069765,192725.94520547945,0.0,370,2677
772139,0.74,8.1684774373526,0.0,341593.8718693285,192725.94520547945,0.0,370,2680
782139,0.74,8.06403976786735,0.0,336598.52902328817,192725.94520547945,0.0,370,2802
792139,0.74,7.962238950487224,0.0,338793.84874235216,192725.94520547945,0.0,370,2867
802139,0.74,7.862976366938897,0.0,335171.79875857563,192725.94520547945,0.0,370,2986
812139,0.74,7.766158256160584,0.0,304546.0354364736,192725.94520547945,0.0,370,3396
822139,0.74,7.671695418901184,0.0,295583.4722748174,192725.94520547945,0.0,370,3622
832139,0.74,7.5795029436187935,0.0,302892.14940987126,192725.94520547945,0.0,370,3653
842139,0.74,7.489499951908177,0.0,312114.0441767068,192725.94520547945,0.0,370,3660
852139,0.74,7.4016093618529375,0.0,321150.0755876068,192725.94520547945,0.0,370,3669
862139,0.74,7.315757667847064,0.0,327471.2196088795,192725.94520547945,0.0,370,3709
872139,0.74,7.231874735563942,0.0,329986.3044714396,192725.94520547945,0.0,370,3794
882139,0.74,7.1498936108708495,0.0,333751.4263959391,192725.94520547945,0.0,370,3865
892139,0.74,7.069750341594752,0.0,335192.79950495047,192725.94520547945,0.0,370,3965
902139,0.74,6.991383811142184,0.0,337428.7015972895,192725.94520547945,0.0,370,4057
912139,0.74,6.914735583063544,0.0,344700.84242133074,192725.94520547945,0.0,370,4088
922139,0.74,6.839749755730969,0.0,352861.6495338274,192725.94520547945,0.0,370,4108
932139,0.74,6.766372826370316,0.0,361918.3885973282,192725.94520547945,0.0,370,4117
942139,0.74,6.69455356375227,0.0,370953.4360866461,192725.94520547945,0.0,370,4126
952139,0.74,6.624242888905927,0.0,373456.10830999067,192725.94520547945,0.0,370,4209
962139,0.74,6.555393763271212,0.0,377723.5558877645,192725.94520547945,0.0,370,4273
972139,0.74,6.4879610837544845,0.0,380379.4204468517,192725.94520547945,0.0,370,4356
982139,0.74,6.421901584195312,0.0,383808.0024411896,192725.94520547945,0.0,370,4431
992139,0.74,6.357173742792089,0.0,387532.0543905636,192725.94520547945,0.0,370,4503
1002139,0.74,6.293737695070244,0.0,394312.0130039012,192725.94520547945,0.0,370,4539
1012139,0.74,6.2315551520097525,0.0,402942.941227312,192725.94520547945,0.0,370,4553
1022139,0.74,6.170589322978579,0.0,411897.54333764553,192725.94520547945,0.0,370,4563
1032139,0.74,6.110804843146127,0.0,421374.727703576,192725.94520547945,0.0,370,4567
1042139,0.74,6.05216770507581,0.0,425775.6431305828,192725.94520547945,0.0,370,4627
