timestamp,free_rate,throughput,fragment_rate,avg_waiting_time,avg_completion_time,avg_migration_times,unused_node_num,num task in wl
2139,0.996,0.0,0.0,0.0,0.0,0.0,498,0
12139,0.016,0.0,0.0,4976.1,0.0,0.0,8,0
22139,0.016,7.805230588554135,0.0,5203.083333333333,15281.0,0.0,8,0
32139,0.272,8.064967796135535,0.0,5341.888888888889,16796.0,0.0,136,6
42139,0.132,10.251785756662477,0.0,7406.535714285715,23870.4,0.0,66,15
52139,0.004,9.94265329216134,0.0,12103.3125,24713.0,0.0,2,17
62139,0.004,9.733017911456573,0.0,15606.47619047619,26593.28571428572,0.0,2,26
72139,0.024,10.779190174524183,0.0,21796.95238095238,30250.33333333333,0.0,12,23
82139,0.024,9.46687931433302,0.0,27273.14285714286,30250.33333333333,0.0,12,23
92139,0.384,10.314850389086054,0.0,15896.654205607476,36101.36363636364,0.0,192,88
102139,0.384,9.304966760982582,0.0,19285.14184397164,36101.36363636364,0.0,192,122
112139,0.448,10.016140682545773,0.0,20583.726829268293,46378.61538461538,0.0,224,186
122139,0.512,10.61086139562302,0.0,24172.93155893536,56135.66666666666,0.0,256,244
132139,0.512,9.80785385086916,0.0,30215.60535117057,56135.66666666666,0.0,256,280
142139,0.512,9.117835358346408,0.0,39010.73355263158,56135.66666666666,0.0,256,285
152139,0.612,9.08642754323349,0.0,48105.163398692814,61709.375,0.0,306,287
162139,0.612,8.526017799542368,0.0,57303.21172638437,61709.375,0.0,306,288
172139,0.612,8.030719360516791,0.0,57794.2808988764,61709.375,0.0,306,337
182139,0.612,7.589807784164842,0.0,60104.46650124069,61709.375,0.0,306,384
192139,0.612,7.1947912709028365,0.0,62821.28953229399,61709.375,0.0,306,430
202139,0.612,6.838858409312404,0.0,62559.9030418251,61709.375,0.0,306,507
212139,0.612,6.516482117856688,0.0,69532.28649635037,61709.375,0.0,306,529
222139,0.612,6.2231305623956175,0.0,77607.0,61709.375,0.0,306,541
232139,0.612,5.955052791646384,0.0,86414.8816254417,61709.375,0.0,306,547
242139,0.612,5.709117490367103,0.0,95917.78306878309,61709.375,0.0,306,548
252139,0.74,5.825358234941836,0.0,105582.6860670194,70687.58823529411,0.0,370,548
262139,0.74,5.603134215053846,0.0,107235.49754500818,70687.58823529411,0.0,370,592
272139,0.74,5.3972418506719,0.0,112587.893081761,70687.58823529411,0.0,370,617
282139,0.74,5.2059445875968935,0.0,116372.26417910447,70687.58823529411,0.0,370,651
292139,0.74,5.0277436425811,0.0,118492.52027972028,70687.58823529411,0.0,370,696
302139,0.74,4.861338655387089,0.0,115928.49056603774,70687.58823529411,0.0,370,776
312139,0.74,4.705595904388749,0.0,121490.47572815536,70687.58823529411,0.0,370,805
322139,0.74,4.559522442175583,0.0,130206.45367027678,70687.58823529411,0.0,370,812
332139,0.74,4.422244903489202,0.0,139489.6798561151,70687.58823529411,0.0,370,815
342139,0.74,4.292992029555239,0.0,143190.70804597702,70687.58823529411,0.0,370,851
352139,0.74,4.171080170046487,0.0,141414.0836864407,70687.58823529411,0.0,370,925
362139,0.74,4.055901187113236,0.0,123883.20346320346,70687.58823529411,0.0,370,1136
372139,0.74,3.9469123096477374,0.0,101145.5978120978,70687.58823529411,0.0,370,1535
382139,0.74,3.8436275805400655,0.0,107235.4798261949,70687.58823529411,0.0,370,1592
392139,0.1,3.965940648596544,0.0,115139.72073170732,87474.38888888889,0.0,50,1620
402139,0.1,3.867319508926018,0.0,124300.8187878788,87474.38888888889,0.0,50,1630
412139,0.1,3.77348418858686,0.0,133872.46735187425,87474.38888888889,0.0,50,1634
422139,0.1,3.684094575483432,0.0,143669.9009063444,87474.38888888889,0.0,50,1635
432139,0.1,3.5988420392512595,0.0,152009.99581339714,87474.38888888889,0.0,50,1652
442139,0.1,3.712859530600106,0.0,159791.70678466075,101736.63157894736,0.0,50,1674
452139,0.1,3.630741873627358,0.0,165564.56041426928,101736.63157894736,0.0,50,1717
462139,0.1,3.552178024360636,0.0,171604.90607424072,101736.63157894736,0.0,50,1757
472139,0.1,3.4769421716909634,0.0,177792.5704845815,101736.63157894736,0.0,50,1795
482139,0.1,3.404827238617909,0.0,185504.70674646355,101736.63157894736,0.0,50,1817
492139,0.1,3.335642978914493,0.0,195183.63804347825,101736.63157894736,0.0,50,1819
502139,0.1,3.269214301219383,0.0,204853.15635179152,101736.63157894736,0.0,50,1821
512139,0.1,3.205379789471218,0.0,214625.75908844275,101736.63157894736,0.0,50,1822
522139,0.1,3.1439903933626865,0.0,223086.29002695417,101736.63157894736,0.0,50,1834
532139,0.1,3.084908266449179,0.0,231761.6139410188,101736.63157894736,0.0,50,1844
542139,0.1,3.028005732847112,0.0,238635.49020645843,101736.63157894736,0.0,50,1868
552139,0.1,2.9731643662193754,0.0,247878.48099260824,101736.63157894736,0.0,50,1873
562139,0.1,2.920274167065441,0.0,255521.35164835164,101736.63157894736,0.0,50,1890
572139,0.1,2.8692328262887163,0.0,264732.16597077245,101736.63157894736,0.0,50,1895
582139,0.1,2.819945064666686,0.0,274622.56263048016,101736.63157894736,0.0,50,1895
592139,0.1,2.77232203925092,0.0,284512.95929018786,101736.63157894736,0.0,50,1895
602139,0.1,2.726280808916213,0.0,293183.68711018714,101736.63157894736,0.0,50,1903
612139,0.1,2.681743852294985,0.0,289067.9623576028,101736.63157894736,0.0,50,1998
622139,0.1,2.638638632202772,0.0,291546.6277160792,101736.63157894736,0.0,50,2050
632139,0.1,2.5968972014066525,0.0,285074.9311131387,101736.63157894736,0.0,50,2171
642139,0.1,2.556455845229771,0.0,287481.1506666667,101736.63157894736,0.0,50,2229
652139,0.1,2.517254757037993,0.0,291544.1071428572,101736.63157894736,0.0,50,2275
662139,0.1,2.479237743132484,0.0,300427.3641493056,101736.63157894736,0.0,50,2283
672139,0.1,2.4423519539857086,0.0,310069.3178664354,101736.63157894736,0.0,50,2285
682139,0.1,2.4065476391175404,0.0,319569.47899523604,101736.63157894736,0.0,50,2288
692139,0.1,2.3717779232206246,0.0,322830.3122613492,101736.63157894736,0.0,50,2336
702139,0.1,2.337998601416529,0.0,322801.9765528589,101736.63157894736,0.0,50,2410
712139,0.1,2.3051679517622263,0.0,322749.1288392501,101736.63157894736,0.0,50,2486
722139,0.484,2.392891119299746,0.0,323171.65801704105,128392.8,0.0,242,2560
732139,0.484,2.4782179340261887,0.0,320291.85262374394,135200.7619047619,0.0,242,2664
742139,0.484,2.561245265374815,0.0,325093.3615384615,141802.72727272726,0.0,242,2706
752139,0.484,2.642064831101698,0.0,333434.37149106816,148187.8260869565,0.0,242,2718
762139,0.484,2.720763535260628,0.0,342223.667877907,154401.29166666666,0.0,242,2726
772139,0.484,2.7974237799152744,0.0,351749.95172413794,160511.64,0.0,242,2728
782139,0.484,2.872123752939056,0.0,346490.7778936392,157956.6923076923,0.0,242,2849
792139,0.084,2.944937694015823,0.0,348627.2953772944,155854.96296296295,0.0,42,2912
802139,0.084,2.9082241357171266,0.0,344769.96929108136,155854.96296296295,0.0,42,3031
812139,0.084,2.872414697484051,0.0,313140.1005473927,155854.96296296295,0.0,42,3441
822139,0.084,2.8374763878127656,0.0,303773.89694346767,155854.96296296295,0.0,42,3667
832139,0.084,2.803377801064486,0.0,311135.1751609442,155854.96296296295,0.0,42,3698
842139,0.068,2.87268491306067,0.0,320462.1030789826,154029.9642857143,0.0,34,3704
852139,0.068,2.9403653629278788,0.0,329595.5884081197,150355.7931034483,0.0,34,3712
862139,0.196,3.0064757539097524,0.0,335941.0927589852,146920.0,0.0,98,3751
872139,0.212,3.170136870384193,0.0,338378.6539157405,172183.4375,0.0,106,3834
882139,0.212,3.2321436871060003,0.0,342094.0659898477,167393.69696969696,0.0,106,3904
892139,0.228,3.2927604330715283,0.0,343425.47277227725,162863.11764705885,0.0,114,4002
902139,0.228,3.4478057150838177,0.0,345567.6173765731,193756.88888888888,0.0,114,4092
912139,0.228,3.504728994155496,0.0,352863.2253182801,205262.54054054053,0.0,114,4122
922139,0.228,3.654112883198737,0.0,361066.287353574,224314.7692307692,0.0,114,4140
932139,0.228,3.800291587413465,0.0,370181.7473759542,240819.0975609756,0.0,114,4147
942139,0.228,3.9433671676896926,0.0,379270.5034515592,244326.0,0.0,114,4154
952139,0.228,4.083437397270776,0.0,381677.3968253968,246285.24444444448,0.0,114,4236
962139,0.228,4.130796070006516,0.0,385885.9293928243,241343.39130434784,0.0,114,4298
972139,0.228,4.177180423787133,0.0,388445.319792372,241876.2553191489,0.0,114,4380
982139,0.228,4.222620219744863,0.0,391792.91145139816,242176.85416666663,0.0,114,4454
992139,0.228,4.267144019134416,0.0,395441.621887287,242567.22448979592,0.0,114,4525
1002139,0.228,4.224563658334822,0.0,402207.5483311661,242567.22448979592,0.0,114,4561
1012139,0.228,4.18282469107504,0.0,410862.128781331,242567.22448979592,0.0,114,4575
1022139,0.228,4.226431043136012,0.0,419847.0905562743,240523.34,0.0,114,4584
1032139,0.228,4.185482769278169,0.0,429362.6639379578,240523.34,0.0,114,4588
1042139,0.228,4.145320345942335,0.0,433706.3109315185,240523.34,0.0,114,4648
